date,action,code,price,shares,amount,balance,note
2026-08-05,BUY,512800,0.809,9200,7442.80,57.20,三品种轮动信号 银行ADX33.3防守仓
2026-08-17,SELL,512800,0.793,9200,7292.13,7349.33,ADX跌破25+价格压MA30 信号翻空清仓
